,map,regular_time,regular_sum_of_costs,reverse_time_60,reverse_sum_of_costs_60,reverse_time_120,reverse_sum_of_costs_120,reverse_time_300,reverse_sum_of_costs_300
75,mazes/maze50x50_3_30.txt,0.37349534034729004,202,1.1633210182189941,202,1.1633210182189941,202,1.1633210182189941,202
76,mazes/maze50x50_3_3.txt,0.24038267135620117,170,0.330181360244751,170,0.330181360244751,170,0.330181360244751,170
77,mazes/maze50x50_3_29.txt,0.34467577934265137,259,0.6431369781494141,259,0.6431369781494141,259,0.6431369781494141,259
78,mazes/maze50x50_3_28.txt,0.33671140670776367,198,0.7313492298126221,198,0.7313492298126221,198,0.7313492298126221,198
79,mazes/maze50x50_3_27.txt,0.15590262413024902,165,0.13002705574035645,165,0.13002705574035645,165,0.13002705574035645,165
80,mazes/maze50x50_3_26.txt,0.6306726932525635,257,1.7450950145721436,257,1.7450950145721436,257,1.7450950145721436,257
81,mazes/maze50x50_3_25.txt,0.19745373725891113,176,0.6124179363250732,176,0.6124179363250732,176,0.6124179363250732,176
82,mazes/maze50x50_3_24.txt,0.39786458015441895,209,1.2816245555877686,209,1.2816245555877686,209,1.2816245555877686,209
83,mazes/maze50x50_3_23.txt,0.5382771492004395,212,1.0382187366485596,212,1.0382187366485596,212,1.0382187366485596,212
84,mazes/maze50x50_3_22.txt,0.15741181373596191,164,0.19931530952453613,164,0.19931530952453613,164,0.19931530952453613,164
85,mazes/maze50x50_3_21.txt,0.25165724754333496,136,0.3509030342102051,136,0.3509030342102051,136,0.3509030342102051,136
86,mazes/maze50x50_3_20.txt,0.2941403388977051,214,0.2694554328918457,214,0.2694554328918457,214,0.2694554328918457,214
87,mazes/maze50x50_3_2.txt,0.08424496650695801,162,0.07924127578735352,162,0.07924127578735352,162,0.07924127578735352,162
88,mazes/maze50x50_3_199.txt,0.06904149055480957,98,0.3497190475463867,98,0.3497190475463867,98,0.3497190475463867,98
89,mazes/maze50x50_3_198.txt,0.07557272911071777,146,0.5222597122192383,146,0.5222597122192383,146,0.5222597122192383,146
90,mazes/maze50x50_3_197.txt,0.1133725643157959,108,0.10970735549926758,108,0.10970735549926758,108,0.10970735549926758,108
91,mazes/maze50x50_3_196.txt,0.02382516860961914,85,0.0337061882019043,85,0.0337061882019043,85,0.0337061882019043,85
92,mazes/maze50x50_3_195.txt,0.2762923240661621,186,0.4992525577545166,186,0.4992525577545166,186,0.4992525577545166,186
93,mazes/maze50x50_3_194.txt,1.112856388092041,361,2.937471389770508,361,2.937471389770508,361,2.937471389770508,361
94,mazes/maze50x50_3_193.txt,0.06868243217468262,109,0.4048941135406494,109,0.4048941135406494,109,0.4048941135406494,109
95,mazes/maze50x50_3_192.txt,0.10159111022949219,138,0.07646393775939941,138,0.07646393775939941,138,0.07646393775939941,138
96,mazes/maze50x50_3_191.txt,0.06856179237365723,148,0.06783437728881836,148,0.06783437728881836,148,0.06783437728881836,148
97,mazes/maze50x50_3_190.txt,116.24948215484619,214,60.98520541191101,False,122.3647050857544,False,301.85192108154297,260
98,mazes/maze50x50_3_19.txt,0.2814807891845703,180,3.467273473739624,180,3.467273473739624,180,3.467273473739624,180
99,mazes/maze50x50_3_189.txt,0.13624334335327148,140,0.14447593688964844,140,0.14447593688964844,140,0.14447593688964844,140
100,mazes/maze50x50_3_188.txt,0.16412711143493652,150,0.20440220832824707,150,0.20440220832824707,150,0.20440220832824707,150
101,mazes/maze50x50_3_187.txt,0.612499475479126,190,2.2226204872131348,190,2.2226204872131348,190,2.2226204872131348,190
102,mazes/maze50x50_3_186.txt,234.45707297325134,176,60.654762983322144,False,122.06272101402283,False,300.9470217227936,176
103,mazes/maze50x50_3_185.txt,388.00668692588806,233,60.142009258270264,False,121.4715416431427,False,306.07515692710876,False
104,mazes/maze50x50_3_184.txt,0.09860801696777344,134,0.10385751724243164,134,0.10385751724243164,134,0.10385751724243164,134
105,mazes/maze50x50_3_183.txt,0.10587716102600098,123,0.31119775772094727,123,0.31119775772094727,123,0.31119775772094727,123
