,map,regular_time,regular_sum_of_costs,reverse_time_30,reverse_sum_of_costs_30,reverse_time_60,reverse_sum_of_costs_60,reverse_time_120,reverse_sum_of_costs_120,reverse_time_300,reverse_sum_of_costs_300
626,mazes/maze100x100_3_75.txt,1.7722136974334717,381,3.8593814373016357,381,3.8593814373016357,381,3.8593814373016357,381,3.8593814373016357,381
627,mazes/maze100x100_3_74.txt,2.6462433338165283,405,2.7942636013031006,405,2.7942636013031006,405,2.7942636013031006,405,2.7942636013031006,405
628,mazes/maze100x100_3_73.txt,1.1255295276641846,268,3.8612353801727295,268,3.8612353801727295,268,3.8612353801727295,268,3.8612353801727295,268
629,mazes/maze100x100_3_72.txt,0.3064436912536621,270,0.47525668144226074,270,0.47525668144226074,270,0.47525668144226074,270,0.47525668144226074,270
630,mazes/maze100x100_3_71.txt,2.34875750541687,398,5.10460352897644,398,5.10460352897644,398,5.10460352897644,398,5.10460352897644,398
631,mazes/maze100x100_3_70.txt,2.052011728286743,306,1.7273893356323242,306,1.7273893356323242,306,1.7273893356323242,306,1.7273893356323242,306
632,mazes/maze100x100_3_7.txt,2.674107551574707,424,2.300243377685547,424,2.300243377685547,424,2.300243377685547,424,2.300243377685547,424
633,mazes/maze100x100_3_69.txt,5.466705560684204,598,19.012105226516724,598,19.012105226516724,598,19.012105226516724,598,19.012105226516724,598
634,mazes/maze100x100_3_68.txt,2.4854769706726074,493,3.1320693492889404,493,3.1320693492889404,493,3.1320693492889404,493,3.1320693492889404,493
635,mazes/maze100x100_3_67.txt,4.241262912750244,548,8.755390882492065,548,8.755390882492065,548,8.755390882492065,548,8.755390882492065,548
636,mazes/maze100x100_3_66.txt,2.651470422744751,495,2.842744827270508,495,2.842744827270508,495,2.842744827270508,495,2.842744827270508,495
637,mazes/maze100x100_3_65.txt,0.819960355758667,266,0.8517739772796631,266,0.8517739772796631,266,0.8517739772796631,266,0.8517739772796631,266
638,mazes/maze100x100_3_64.txt,0.5965256690979004,270,0.5794472694396973,270,0.5794472694396973,270,0.5794472694396973,270,0.5794472694396973,270
639,mazes/maze100x100_3_63.txt,1.4513680934906006,349,2.826241970062256,349,2.826241970062256,349,2.826241970062256,349,2.826241970062256,349
640,mazes/maze100x100_3_62.txt,1.8452248573303223,369,1.9119501113891602,369,1.9119501113891602,369,1.9119501113891602,369,1.9119501113891602,369
641,mazes/maze100x100_3_61.txt,2.0178534984588623,355,1.941847562789917,355,1.941847562789917,355,1.941847562789917,355,1.941847562789917,355
642,mazes/maze100x100_3_60.txt,3.545921564102173,479,18.806289434432983,479,18.806289434432983,479,18.806289434432983,479,18.806289434432983,479
643,mazes/maze100x100_3_6.txt,1800.5500416755676,False,31.50548219680786,False,62.45345735549927,False,121.88263654708862,411,302.2403721809387,411
644,mazes/maze100x100_3_59.txt,0.1368083953857422,166,0.11938691139221191,166,0.11938691139221191,166,0.11938691139221191,166,0.11938691139221191,166
645,mazes/maze100x100_3_58.txt,3.1159000396728516,472,4.015364646911621,472,4.015364646911621,472,4.015364646911621,472,4.015364646911621,472
646,mazes/maze100x100_3_57.txt,5.265930891036987,582,15.117847204208374,582,15.117847204208374,582,15.117847204208374,582,15.117847204208374,582
647,mazes/maze100x100_3_56.txt,3.205929756164551,521,12.591728925704956,521,12.591728925704956,521,12.591728925704956,521,12.591728925704956,521
648,mazes/maze100x100_3_55.txt,1.5606987476348877,324,2.7646994590759277,324,2.7646994590759277,324,2.7646994590759277,324,2.7646994590759277,324
649,mazes/maze100x100_3_54.txt,4.280574560165405,593,10.4587984085083,593,10.4587984085083,593,10.4587984085083,593,10.4587984085083,593
